date,policy_rate,ca_2y,ca_5y,ca_10y,slope_10y_2y,curvature
2001-05-07,,4.71,5.24,5.69,0.9800000000000004,0.08000000000000007
2001-05-08,,4.72,5.27,5.74,1.0200000000000005,0.07999999999999918
2001-05-09,,4.69,5.23,5.68,0.9899999999999993,0.09000000000000075
2001-05-10,,4.75,5.29,5.74,0.9900000000000002,0.08999999999999986
2001-05-11,,4.9,5.47,5.89,0.9899999999999993,0.14999999999999947
2001-05-14,,4.9,5.48,5.91,1.0099999999999998,0.15000000000000036
2001-05-15,,4.86,5.5,5.95,1.0899999999999999,0.1899999999999995
2001-05-16,,4.81,5.51,5.95,1.1400000000000006,0.2599999999999998
2001-05-17,,4.95,5.57,5.94,0.9900000000000002,0.25
2001-05-18,,4.98,5.6,5.92,0.9399999999999995,0.29999999999999893
2001-05-22,,4.99,5.57,5.91,0.9199999999999999,0.2400000000000002
2001-05-23,,4.97,5.56,5.92,0.9500000000000002,0.22999999999999954
2001-05-24,,5.01,5.63,5.99,0.9800000000000004,0.2599999999999998
2001-05-25,,4.96,5.6,5.96,1.0,0.27999999999999936
2001-05-28,,4.93,5.57,5.94,1.0100000000000007,0.27000000000000046
2001-05-29,,4.98,5.59,5.95,0.9699999999999998,0.2499999999999991
2001-05-30,,4.99,5.61,5.96,0.9699999999999998,0.27000000000000046
2001-05-31,,4.93,5.52,5.84,0.9100000000000001,0.2699999999999996
2001-06-01,,4.9,5.47,5.79,0.8899999999999997,0.2499999999999991
2001-06-04,,4.86,5.41,5.73,0.8700000000000001,0.22999999999999954
2001-06-05,,4.82,5.36,5.7,0.8799999999999999,0.20000000000000018
2001-06-06,,4.82,5.36,5.71,0.8899999999999997,0.1900000000000004
2001-06-07,,4.82,5.4,5.76,0.9399999999999995,0.22000000000000064
2001-06-08,,4.82,5.41,5.78,0.96,0.21999999999999975
2001-06-11,,4.77,5.34,5.69,0.9200000000000008,0.21999999999999975
2001-06-12,,4.77,5.32,5.65,0.8800000000000008,0.22000000000000064
2001-06-13,,4.78,5.33,5.69,0.9100000000000001,0.1899999999999995
2001-06-14,,4.74,5.29,5.67,0.9299999999999997,0.16999999999999993
2001-06-15,,4.75,5.29,5.68,0.9299999999999997,0.15000000000000036
2001-06-18,,4.73,5.3,5.7,0.9699999999999998,0.16999999999999904
2001-06-19,,4.74,5.33,5.74,1.0,0.17999999999999972
2001-06-20,,4.73,5.29,5.7,0.9699999999999998,0.14999999999999947
2001-06-21,,4.73,5.26,5.65,0.9199999999999999,0.1399999999999988
2001-06-22,,4.69,5.21,5.6,0.9099999999999993,0.1299999999999999
2001-06-25,,4.7,5.24,5.64,0.9399999999999995,0.14000000000000057
2001-06-26,,4.76,5.31,5.7,0.9400000000000004,0.15999999999999925
2001-06-27,,4.87,5.39,5.73,0.8600000000000003,0.17999999999999883
2001-06-28,,5.0,5.54,5.86,0.8600000000000003,0.21999999999999975
2001-06-29,,5.03,5.6,5.91,0.8799999999999999,0.2599999999999989
2001-07-03,,5.04,5.61,5.93,0.8899999999999997,0.2500000000000009
2001-07-04,,5.03,5.59,5.92,0.8899999999999997,0.22999999999999954
2001-07-05,,4.99,5.57,5.93,0.9399999999999995,0.22000000000000064
2001-07-06,,4.92,5.52,5.89,0.9699999999999998,0.22999999999999954
2001-07-09,,4.91,5.5,5.88,0.9699999999999998,0.20999999999999996
2001-07-10,,4.89,5.48,5.86,0.9700000000000006,0.21000000000000085
2001-07-11,,4.9,5.52,5.89,0.9899999999999993,0.2499999999999991
2001-07-12,,4.9,5.52,5.9,1.0,0.23999999999999844
2001-07-13,,4.9,5.51,5.88,0.9799999999999995,0.23999999999999932
2001-07-16,,4.86,5.47,5.84,0.9799999999999995,0.23999999999999932
2001-07-17,,4.86,5.47,5.84,0.9799999999999995,0.23999999999999932
2001-07-18,,4.76,5.37,5.74,0.9800000000000004,0.2400000000000002
2001-07-19,,4.77,5.39,5.77,1.0,0.2400000000000002
2001-07-20,,4.73,5.35,5.73,1.0,0.23999999999999844
2001-07-23,,4.71,5.32,5.71,1.0,0.22000000000000064
2001-07-24,,4.7,5.31,5.7,1.0,0.21999999999999886
2001-07-25,,4.73,5.36,5.76,1.0299999999999994,0.23000000000000043
2001-07-26,,4.69,5.31,5.7,1.0099999999999998,0.22999999999999865
2001-07-27,,4.66,5.27,5.65,0.9900000000000002,0.22999999999999865
2001-07-30,,4.65,5.25,5.64,0.9899999999999993,0.20999999999999996
2001-07-31,,4.63,5.25,5.65,1.0200000000000005,0.21999999999999975
2001-08-01,,4.66,5.29,5.69,1.0300000000000002,0.22999999999999954
2001-08-02,,4.69,5.34,5.74,1.0499999999999998,0.2499999999999991
2001-08-03,,4.69,5.34,5.74,1.0499999999999998,0.2499999999999991
2001-08-07,,4.65,5.3,5.71,1.0599999999999996,0.23999999999999932
2001-08-08,,4.56,5.2,5.61,1.0500000000000007,0.23000000000000043
2001-08-09,,4.53,5.18,5.6,1.0699999999999994,0.22999999999999954
2001-08-10,,4.48,5.13,5.55,1.0699999999999994,0.22999999999999954
2001-08-13,,4.46,5.11,5.53,1.0700000000000003,0.23000000000000043
2001-08-14,,4.49,5.12,5.53,1.04,0.21999999999999975
2001-08-15,,4.53,5.17,5.58,1.0499999999999998,0.22999999999999954
2001-08-16,,4.49,5.14,5.54,1.0499999999999998,0.2499999999999991
2001-08-17,,4.43,5.06,5.47,1.04,0.21999999999999975
2001-08-20,,4.46,5.1,5.51,1.0499999999999998,0.22999999999999954
2001-08-21,,4.4,5.05,5.48,1.08,0.21999999999999886
2001-08-22,,4.45,5.09,5.49,1.04,0.23999999999999932
2001-08-23,,4.4,5.05,5.47,1.0699999999999994,0.22999999999999954
2001-08-24,,4.41,5.05,5.47,1.0599999999999996,0.21999999999999975
2001-08-27,,4.38,5.03,5.45,1.0700000000000003,0.23000000000000043
2001-08-28,,4.3,4.97,5.41,1.1100000000000003,0.22999999999999954
2001-08-29,,4.26,4.93,5.36,1.1000000000000005,0.23999999999999932
2001-08-30,,4.22,4.95,5.39,1.17,0.2900000000000009
2001-08-31,,4.15,4.88,5.36,1.21,0.2499999999999991
2001-09-04,,4.25,5.0,5.5,1.25,0.25
2001-09-05,,4.21,4.97,5.48,1.2700000000000005,0.2499999999999991
2001-09-06,,4.09,4.84,5.37,1.2800000000000002,0.21999999999999975
2001-09-07,,3.95,4.72,5.28,1.33,0.20999999999999908
2001-09-10,,3.97,4.74,5.32,1.35,0.1899999999999995
2001-09-11,,3.85,4.66,5.25,1.4,0.22000000000000064
2001-09-12,,3.67,4.56,5.19,1.5200000000000005,0.2599999999999989
2001-09-13,,3.65,4.52,5.22,1.5699999999999998,0.16999999999999904
2001-09-14,,3.57,4.43,5.13,1.56,0.15999999999999925
2001-09-17,,3.57,4.62,5.19,1.6200000000000006,0.47999999999999954
2001-09-18,,3.55,4.67,5.27,1.7199999999999998,0.5200000000000005
