date,BMO.TO,BNS.TO,CADUSD=X,CL=F,CM.TO,GC=F,NA.TO,RY.TO,TD.TO,XFN.TO,XIU.TO,ZEB.TO,^DJI,^GSPC,^GSPTSE,^IXIC,^VIX
2020-07-15,57.80957794189453,40.64444732666016,0.7353265285491943,41.20000076293945,35.1854248046875,1811.4000244140625,50.737247467041016,76.0773696899414,47.854148864746094,27.483741760253903,20.406673431396484,19.38025665283203,26870.099609375,3226.56005859375,16063.2998046875,10550.490234375,27.760000228881836
2020-07-16,57.76369094848633,40.98932266235352,0.7403623461723328,40.75,35.27181625366211,1798.699951171875,50.45625686645508,76.06148529052734,47.854148864746094,27.500110626220703,20.364837646484375,19.38025665283203,26734.7109375,3215.570068359375,16024.5,10473.830078125,28.0
2020-07-17,57.07510757446289,40.651634216308594,0.7369794249534607,40.59000015258789,35.132850646972656,1808.300048828125,50.57667541503906,76.14090728759766,47.761226654052734,27.500110626220703,20.49871253967285,19.333139419555664,26671.94921875,3224.72998046875,16123.5,10503.1904296875,25.68000030517578
2020-07-20,56.90679931640625,40.27803039550781,0.736659049987793,40.810001373291016,35.03895950317383,1815.9000244140625,50.8255500793457,75.41016387939453,47.79220962524414,27.36096954345703,20.548912048339844,19.246763229370117,26680.869140625,3251.840087890625,16183.7001953125,10767.08984375,24.459999084472656
2020-07-21,57.442344665527344,40.51512145996094,0.7393770217895508,41.959999084472656,35.361961364746094,1842.4000244140625,50.640907287597656,76.0138168334961,47.947078704833984,27.475555419921875,20.51544189453125,19.348846435546875,26840.400390625,3257.300048828125,16163.0,10680.3603515625,24.84000015258789
2020-07-22,57.22813034057617,40.4576530456543,0.7436160445213318,41.900001525878906,35.21548080444336,1864.0999755859375,50.52048873901367,75.7676010131836,47.62185287475586,27.410078048706055,20.51544189453125,19.28601837158203,27005.83984375,3276.02001953125,16171.099609375,10706.1298828125,24.31999969482422
2020-07-23,56.79967498779297,40.22054290771485,0.745311975479126,41.06999969482422,35.196693420410156,1889.0999755859375,50.19935989379883,75.54521179199219,47.412784576416016,27.287303924560547,20.3062744140625,19.19179344177246,26652.330078125,3235.659912109375,16018.7001953125,10461.419921875,26.079999923706055
2020-07-24,56.40949249267578,39.91160202026367,0.7460570931434631,41.290000915527344,35.072750091552734,1897.300048828125,49.84613800048828,75.29612731933594,46.909461975097656,27.074506759643555,20.289539337158203,19.034738540649418,26469.890625,3215.6298828125,15997.099609375,10363.1796875,25.84000015258789
2020-07-27,56.74612045288086,39.803836822509766,0.7453342080116272,41.599998474121094,34.990116119384766,1931.0,50.47231674194336,75.03903198242188,46.52228164672851,27.06218910217285,20.490339279174805,19.05830192565918,26584.76953125,3239.409912109375,16161.2998046875,10536.26953125,24.739999771118164
2020-07-28,56.5854377746582,39.54517364501953,0.7496870160102844,41.040000915527344,34.78730773925781,1944.699951171875,50.35188674926758,74.30792999267578,46.181583404541016,26.94721221923828,20.44013786315918,18.971921920776367,26379.279296875,3218.43994140625,16121.2998046875,10402.08984375,25.440000534057617
2020-07-29,57.43470001220703,39.9978141784668,0.7474064826965332,41.27000045776367,35.00514602661133,1953.5,50.96201705932617,74.78196716308594,46.38290786743164,27.160749435424805,20.682775497436523,19.13751220703125,26539.5703125,3258.43994140625,16294.7001953125,10542.9404296875,24.100000381469727
2020-07-30,57.71013259887695,40.07685852050781,0.749512791633606,39.91999816894531,35.1516227722168,1942.300048828125,51.2992057800293,74.91049194335938,46.39065170288086,27.201810836791992,20.691144943237305,19.200599670410156,26313.650390625,3246.219970703125,16299.2998046875,10587.8095703125,24.760000228881836
2020-07-31,56.86429214477539,39.52362060546875,0.7455564737319946,40.27000045776367,34.82863235473633,1962.800048828125,50.76934814453125,74.23561096191406,45.89507293701172,26.76652717590332,20.51544189453125,18.99557876586914,26428.3203125,3271.1201171875,16169.2001953125,10745.26953125,24.459999084472656
2020-08-04,56.64702224731445,39.68168640136719,0.7466029524803162,41.70000076293945,34.68965530395508,2001.199951171875,51.243011474609375,74.30792999267578,46.127384185791016,26.733657836914062,20.74134826660156,19.034996032714844,26828.470703125,3306.510009765625,16368.0,10941.169921875,23.760000228881836
2020-08-05,57.74116897583008,40.177433013916016,0.7521172165870667,42.189998626708984,35.13661193847656,2031.0999755859375,51.27511215209961,75.36041259765625,46.5997200012207,27.160749435424805,20.908679962158203,19.232133865356445,27201.51953125,3327.77001953125,16501.599609375,10998.400390625,22.989999771118164
2020-08-06,57.655818939208984,40.35706329345703,0.7538748979568481,41.95000076293945,35.170413970947266,2051.5,51.29117584228515,75.99510192871094,46.83976745605469,27.35786247253418,21.000717163085938,19.28732681274414,27386.98046875,3349.159912109375,16579.099609375,11108.0703125,22.649999618530273
2020-08-07,58.39300155639648,40.88154983520508,0.7508409023284912,41.220001220703125,35.58730697631836,2010.0999755859375,52.11003494262695,76.64588165283203,47.389549255371094,27.604263305664062,20.97561836242676,19.53177261352539,27433.48046875,3351.280029296875,16544.5,11010.98046875,22.209999084472656
2020-08-10,59.44058609008789,41.556922912597656,0.747004508972168,41.939998626708984,36.03426742553711,2024.4000244140625,52.59172058105469,77.31271362304688,48.00901412963867,27.93276596069336,21.042551040649418,19.768325805664062,27791.439453125,3360.469970703125,16605.5,10968.3603515625,22.1299991607666
2020-08-11,60.201053619384766,41.84432220458984,0.7488393187522888,41.61000061035156,36.3234748840332,1932.5999755859375,52.64790725708008,78.46159362792969,48.94596481323242,28.34342384338379,20.967248916625977,19.98122787475586,27686.91015625,3333.68994140625,16497.0,10782.8203125,24.030000686645508
2020-08-12,61.03135299682617,42.210731506347656,0.7512865662574768,42.66999816894531,36.67276763916016,1934.9000244140625,52.83255386352539,78.76688385009766,49.53446960449219,28.51590919494629,21.05928611755371,20.178361892700195,27976.83984375,3380.35009765625,16575.30078125,11012.240234375,22.280000686645508
2020-08-13,60.364013671875,41.80119705200195,0.7550817131996155,42.2400016784668,36.42112731933594,1956.699951171875,52.904815673828125,78.4535903930664,49.1550407409668,28.29416847229004,20.967248916625977,20.02065658569336,27896.720703125,3373.429931640625,16530.099609375,11042.5,22.1299991607666
2020-08-14,60.55024337768555,41.44196319580078,0.7564525604248047,42.0099983215332,36.49625015258789,1937.0,53.31424331665039,78.30091094970703,49.1163215637207,28.310583114624023,20.983989715576172,20.060087203979492,27931.01953125,3372.85009765625,16514.599609375,11019.2998046875,22.049999237060547
2020-08-17,60.356239318847656,41.10428237915039,0.7545803189277649,42.88999938964844,36.55633163452149,1985.0,53.31424331665039,78.01168823242188,48.75238800048828,28.18738555908203,21.13459014892578,19.98122787475586,27844.91015625,3381.989990234375,16656.099609375,11129.73046875,21.350000381469727
